model,rmse
training_v6_f03_4.pth,9.954301599792627
training_v6_f01_3.pth,1.0767320928913509
training_v6_f01_5.pth,0.9845473141913916
training_v6_f01_of3.pth,0.36451482582154143
training_v6_f24_of1.pth,10.44041131948457
training_v6_f24_of5.pth,10.64322047316465
training_v6_f24_4.pth,10.152171139973852
training_v6_f24_3.pth,10.310121563018505
training_v6_f01_of2.pth,0.4750641749614559
training_v6_f24_5.pth,10.047610210534359
training_v6_f03_3.pth,10.335934015081659
training_v6_f01_2.pth,3.1836493034981497
training_v6_f24_of3.pth,10.82052236171674
training_v6_f03_of5.pth,7.3588070795397105
training_v6_f03_of3.pth,5.594447470636944
training_v6_f01_of5.pth,0.19037459595386497
training_v6_f03_of4.pth,5.403785025955457
training_v6_f01_1.pth,3.1780802770584673
training_v6_f03_of2.pth,6.097306962847055
training_v6_f03_1.pth,33.271410614125976
training_v6_f01_4.pth,0.9159491993046578
training_v6_f24_2.pth,12.913993965523005
training_v6_f03_of1.pth,6.106121618648502
training_v6_f01_of4.pth,0.1881313640610489
training_v6_f24_of4.pth,11.030693095835431
training_v6_f03_5.pth,10.062422526047873
training_v6_f24_1.pth,16.99188714661857
training_v6_f03_2.pth,10.963714649814078
training_v6_f01_of1.pth,0.23072468372711857
training_v6_f24_of2.pth,10.548693405647697
